partiID	condiID	gestureSet	trial	block	rep	fNmb	gesture	result	recFNmb	recGest	t1st(ms)	tEnd(ms)
3	2	Combined	0	0	0	2	Tip	correct	2	Tip	2124	2414
3	2	Combined	1	0	0	1	Tip	correct	1	Tip	1069	1172
3	2	Combined	2	0	0	1	Flat	correct	1	Flat	1224	1475
3	2	Combined	3	0	0	3	Tip	correct	3	Tip	1096	1363
3	2	Combined	4	0	0	3	Flat	correct	3	Flat	1537	1990
3	2	Combined	5	0	0	2	Tip	correct	2	Tip	915	1052
3	2	Combined	6	0	0	1	Tip	correct	1	Tip	989	1110
3	2	Combined	7	0	0	2	Flat	error			1046	0
3	2	Combined	8	0	0	3	Flat	error			699	0
3	2	Combined	9	0	0	2	Flat	error			1075	0
3	2	Combined	10	0	0	1	Flat	correct	1	Flat	857	1127
3	2	Combined	11	0	0	3	Tip	error			744	0
3	2	Combined	0	1	0	2	Tip	correct	2	Tip	932	1134
3	2	Combined	1	1	0	1	Tip	correct	1	Tip	709	823
3	2	Combined	2	1	0	1	Flat	correct	1	Flat	891	1109
3	2	Combined	3	1	0	3	Tip	correct	3	Tip	854	1007
3	2	Combined	4	1	0	3	Flat	correct	3	Flat	955	1213
3	2	Combined	5	1	0	2	Tip	correct	2	Tip	781	943
3	2	Combined	6	1	0	1	Tip	correct	1	Tip	687	840
3	2	Combined	7	1	0	2	Flat	correct	2	Flat	1295	1617
3	2	Combined	8	1	0	3	Flat	error			1059	0
3	2	Combined	9	1	0	2	Flat	correct	2	Flat	1009	1235
3	2	Combined	10	1	0	1	Flat	correct	1	Flat	792	1017
3	2	Combined	11	1	0	3	Tip	correct	3	Tip	964	1150
3	2	Combined	0	2	0	2	Tip	correct	2	Tip	1011	1160
3	2	Combined	1	2	0	1	Tip	correct	1	Tip	650	755
3	2	Combined	2	2	0	1	Flat	correct	1	Flat	881	1082
3	2	Combined	3	2	0	3	Tip	correct	3	Tip	897	1067
3	2	Combined	4	2	0	3	Flat	error			1181	0
3	2	Combined	5	2	0	2	Tip	correct	2	Tip	932	1019
3	2	Combined	6	2	0	1	Tip	correct	1	Tip	657	803
3	2	Combined	7	2	0	2	Flat	correct	2	Flat	1106	1396
3	2	Combined	8	2	0	3	Flat	error			1526	0
3	2	Combined	9	2	0	2	Flat	correct	2	Flat	1181	1407
3	2	Combined	10	2	0	1	Flat	correct	1	Flat	907	1158
3	2	Combined	11	2	0	3	Tip	correct	3	Tip	1150	1319
3	2	Combined	0	3	0	2	Tip	correct	2	Tip	1082	1227
3	2	Combined	1	3	0	1	Tip	correct	1	Tip	748	877
3	2	Combined	2	3	0	1	Flat	error			801	0
3	2	Combined	3	3	0	3	Tip	correct	3	Tip	909	1091
3	2	Combined	4	3	0	3	Flat	correct	3	Flat	3089	5438
3	2	Combined	5	3	0	2	Tip	correct	2	Tip	756	942
3	2	Combined	6	3	0	1	Tip	correct	1	Tip	694	839
3	2	Combined	7	3	0	2	Flat	correct	2	Flat	1138	1477
3	2	Combined	8	3	0	3	Flat	correct	3	Flat	984	1292
3	2	Combined	9	3	0	2	Flat	correct	2	Flat	1007	1281
3	2	Combined	10	3	0	1	Flat	correct	1	Flat	786	1069
3	2	Combined	11	3	0	3	Tip	correct	3	Tip	831	1000
3	2	Combined	0	4	0	2	Tip	correct	2	Tip	1036	1189
3	2	Combined	1	4	0	1	Tip	correct	1	Tip	828	957
3	2	Combined	2	4	0	1	Flat	correct	1	Flat	823	1057
3	2	Combined	3	4	0	3	Tip	correct	3	Tip	1003	1179
3	2	Combined	4	4	0	3	Flat	correct	3	Flat	949	1265
3	2	Combined	5	4	0	2	Tip	correct	2	Tip	829	983
3	2	Combined	6	4	0	1	Tip	correct	1	Tip	647	784
3	2	Combined	7	4	0	2	Flat	correct	2	Flat	1035	1318
3	2	Combined	8	4	0	3	Flat	error			959	0
3	2	Combined	9	4	0	2	Flat	correct	2	Flat	844	1084
